condition,run_id,generation,best_fitness,avg_fitness,best_coverage,best_bugs,novelty,diversity
COV_ONLY,4,29,0.866667,0.822917,0.866667,6,0.883333,0.859638
COV_ONLY,4,30,0.866667,0.825833,0.866667,6,0.883333,0.860706
COV_ONLY,4,31,0.866667,0.826667,0.866667,6,0.883333,0.861168
COV_ONLY,4,32,0.866667,0.811250,0.866667,6,0.883333,0.857792
COV_ONLY,4,33,0.866667,0.825417,0.866667,6,0.883333,0.859845
COV_ONLY,4,34,0.866667,0.827917,0.866667,6,0.883333,0.858499
COV_ONLY,4,35,0.866667,0.819583,0.866667,6,0.883333,0.859279
COV_ONLY,4,36,0.866667,0.828750,0.866667,6,0.883333,0.863473
COV_ONLY,4,37,0.866667,0.827917,0.866667,6,0.883333,0.863371
COV_ONLY,4,38,0.866667,0.827083,0.866667,6,0.883333,0.863727
COV_ONLY,4,39,0.883333,0.828333,0.883333,6,0.900000,0.862014
COV_ONLY,4,40,0.883333,0.815833,0.883333,6,0.900000,0.861722
COV_ONLY,4,41,0.866667,0.824583,0.866667,6,0.900000,0.863157
COV_ONLY,4,42,0.883333,0.831667,0.883333,6,0.900000,0.863679
COV_ONLY,4,43,0.883333,0.831250,0.883333,6,0.900000,0.863154
COV_ONLY,4,44,0.866667,0.833750,0.866667,6,0.900000,0.864074
COV_ONLY,4,45,0.866667,0.834167,0.866667,6,0.900000,0.863369
COV_ONLY,4,46,0.866667,0.829167,0.866667,6,0.900000,0.864026
COV_ONLY,4,47,0.866667,0.835417,0.866667,6,0.900000,0.863375
COV_ONLY,4,48,0.866667,0.835833,0.866667,6,0.900000,0.864252
COV_ONLY,4,49,0.866667,0.832917,0.866667,6,0.900000,0.863024
COV_ONLY,4,50,0.866667,0.835000,0.866667,6,0.900000,0.864906
COV_ONLY,4,51,0.866667,0.840833,0.866667,6,0.900000,0.865349
COV_ONLY,4,52,0.866667,0.839583,0.866667,6,0.900000,0.866519
COV_ONLY,4,53,0.866667,0.835833,0.866667,6,0.900000,0.865805
COV_ONLY,4,54,0.866667,0.841250,0.866667,6,0.900000,0.865421
COV_ONLY,4,55,0.866667,0.838333,0.866667,6,0.900000,0.867084
