run_id,generation,best_fitness,avg_fitness,best_coverage,best_bugs,cumulative_bugs,novelty,diversity,avg_input_length,avg_input_length_pop
4,22,0.426689,0.418435,0.545455,3,3,0.568182,0.783896,23.46,26.65
4,23,0.437060,0.417987,0.568182,3,3,0.568182,0.783176,26.16,26.08
4,24,0.426663,0.417393,0.545455,3,3,0.568182,0.785046,27.41,26.09
4,25,0.426532,0.417646,0.545455,3,3,0.568182,0.784743,27.63,25.88
4,26,0.436894,0.415067,0.568182,3,3,0.568182,0.786414,26.23,26.29
4,27,0.426477,0.418483,0.545455,3,3,0.568182,0.785784,26.46,25.98
4,28,0.426833,0.416582,0.545455,3,3,0.568182,0.786837,25.47,27.77
4,29,0.426883,0.419310,0.545455,3,3,0.568182,0.787171,23.90,26.75
4,30,0.426952,0.419131,0.545455,3,3,0.568182,0.788503,27.66,26.40
4,31,0.427011,0.419922,0.545455,3,3,0.568182,0.786523,27.14,26.22
4,32,0.427095,0.416519,0.545455,3,3,0.568182,0.787874,28.18,27.57
4,33,0.427178,0.419900,0.545455,3,3,0.568182,0.790206,27.47,27.06
4,34,0.437944,0.420975,0.568182,3,3,0.568182,0.790563,29.49,27.19
4,35,0.437200,0.420279,0.568182,3,3,0.568182,0.791285,26.69,27.22
4,36,0.437659,0.418570,0.568182,3,3,0.568182,0.792543,27.07,27.63
4,37,0.427333,0.421316,0.545455,3,3,0.568182,0.793655,29.73,28.25
4,38,0.427670,0.422352,0.545455,3,3,0.568182,0.793904,28.52,27.63
4,39,0.438837,0.420662,0.568182,3,3,0.568182,0.794313,28.95,27.35
4,40,0.427552,0.422689,0.545455,3,3,0.568182,0.795125,26.21,27.51
4,41,0.438338,0.422173,0.568182,3,3,0.568182,0.795791,28.75,27.97
4,42,0.427782,0.422072,0.545455,3,3,0.568182,0.796560,28.13,27.90
4,43,0.427751,0.422381,0.545455,3,3,0.568182,0.796954,28.42,27.78
4,44,0.438551,0.422559,0.568182,3,3,0.568182,0.798791,29.78,27.84
4,45,0.427852,0.421426,0.545455,3,3,0.568182,0.799354,26.57,27.83
4,46,0.427852,0.422862,0.545455,3,3,0.568182,0.798939,26.66,27.90
